"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스","",""
"고객","건강도 좀 챙기고 체중 감량도 하고","C","학원","태권도","1","9","상담문의","수강목적","A","","","","건강도 좀 챙기고 체중 감량도 하고","","건강, 체중 감량","","","",""
"점원","애 성향이나 성격은 어떤가요?","C","학원","태권도","0","10","상담문의","성격","Q","","","애 성향이나 성격은 어떤가요?","","","성향, 성격","","","",""
"고객","그냥 애가 내성적이고","C","학원","태권도","1","11","상담문의","성격","A","","","","그냥 애가 내성적이고","","내성적","","","",""
"고객","수업 시간대는 어떻게 있어요?","C","학원","태권도","1","12","학년별시간표문의","","Q","","수업 시간대는 어떻게 있어요?","","","","수업, 시간대","","","",""
"점원","여섯시에서 일곱시 있어요","C","학원","태권도","0","13","학년별시간표문의","","A","","","","","여섯시에서 일곱시 있어요","여섯시, 일곱시","","여섯시/시간, 일곱시/시간","",""
"고객","얼마쯤?","C","학원","태권도","1","14","교육비문의","","Q","","얼마쯤?","","","","얼마","","","",""
"점원","가격은 삼일에 십만 원이고 오일에 십이만 원이요","C","학원","태권도","0","15","교육비문의","","A","","","","","가격은 삼일에 십만 원이고 오일에 십이만 원이요","가격, 삼일, 십만 원, 오일, 십이만 원","","삼일/기간, 십만 원/금액, 오일/기간, 십이만 원/금액","",""
"고객","관장님은 한 몇 년 되셨어요?","C","학원","태권도","1","16","선생님경력문의","","Q","","관장님은 한 몇 년 되셨어요?","","","","관장님, 몇 년","","","",""
"점원","저는 부관장이고요 여기 있는지는 스무 살 때부터 있었거든요","C","학원","태권도","0","17","선생님경력문의","","A","","","","","저는 부관장이고요 여기 있는지는 스무 살 때부터 있었거든요","부관장, 여기, 스무 살","","스무 살/나이","",""
"고객","여학생은 몇 명쯤 되나요?","C","학원","태권도","1","18","수강생구성문의","","Q","","여학생은 몇 명쯤 되나요?","","","","여학생, 몇 명","","여학생/성별","",""
"점원","이 시간 때는 대략 한 다섯 명에서 여섯 명 정도요","C","학원","태권도","0","19","수강생구성문의","","A","","","","","이 시간 때는 대략 한 다섯 명에서 여섯 명 정도요","시간, 다섯 명, 여섯 명, 정도","","다섯 명/인원, 여섯 명/인원","",""
"고객","이 시간 때 총 인원이 몇 명이에요?","C","학원","태권도","1","20","반별학생수문의","","Q","","이 시간 때 총 인원이 몇 명이에요?","","","","시간, 인원, 몇 명","","","",""
"점원","대략 스무 명 정도요","C","학원","태권도","0","21","반별학생수문의","","A","","","","","대략 스무 명 정도요","스무 명, 정도","","스무 명/인원","",""
"고객","뚱뚱하면 놀림당하고 그런건?","C","학원","태권도","1","22","학생들과의트러블있을경우별도관리유무문의","","Q","","뚱뚱하면 놀림당하고 그런건?","","","","","","","",""
"점원","저희 어릴 때는 그런 게 있었는데 요즘은 그런거 없어요","C","학원","태권도","0","23","학생들과의트러블있을경우별도관리유무문의","","A","","","","","저희 어릴 때는 그런 게 있었는데 요즘은 그런거 없어요","요즘","","","",""
"고객","시시티비 있어요?","C","학원","태권도","1","24","cctv설치유무문의","","Q","","시시티비 있어요?","","","","시시티비","","시시티비/시설","",""
"점원","여자 탈의실에는 없고 이렇게만 있어요","C","학원","태권도","0","25","cctv설치유무문의","","A","","","","","여자 탈의실에는 없고 이렇게만 있어요","여자 탈의실","","여자 탈의실/장소","",""
"점원","집은 여기 삼단지에요?","C","학원","태권도","0","26","상담문의","학생위치","Q","","","집은 여기 삼단지에요?","","","집, 여기, 삼단지","","","",""
"고객","네 집은 삼단지 가까운 데 있어요","C","학원","태권도","1","27","상담문의","학생위치","A","","","","네 집은 삼단지 가까운 데 있어요","","집, 삼단지","","","",""
"고객","애를 몇 시쯤 한 번 데리고 올까요?","C","학원","태권도","1","28","방문시간문의","","Q","","애를 몇 시쯤 한 번 데리고 올까요?","","","","몇 시, 한 번","","","",""
"점원","여섯시에 수업이 시작이니까 다섯시 오십분 오십오분쯤 오면 좋겠네요","C","학원","태권도","0","29","방문시간문의","","A","","","","","여섯시에 수업이 시작이니까 다섯시 오십분 오십오분쯤 오면 좋겠네요","여섯시, 수업, 시작, 다섯시, 오십분, 오십오분","","여섯시/시작시간, 다섯시 오십분/시간, 오십오분/시간","",""
"고객","수업은 뭘 하나요?","C","학원","태권도","1","30","프로그램문의","","Q","","수업은 뭘 하나요?","","","","수업","","","",""
"점원","요즘은 태권도만 가르치는 게 아니라 줄넘기도 하고 학교 체육시간에 도움되게 많이 해요","C","학원","태권도","0","31","프로그램문의","","A","","","","","요즘은 태권도만 가르치는 게 아니라 줄넘기도 하고 학교 체육시간에 도움되게 많이 해요","요즘, 태권도, 줄넘기, 학교, 체육시간, 도움","","태권도/과목, 줄넘기/과목","",""
"점원","명함 하나 드릴까요?","C","학원","태권도","0","32","팜플렛명함요청","팜플렛명함","Q","","","명함 하나 드릴까요?","","","명함, 하나","","","",""
"고객","네 명함 하나 주세요","C","학원","태권도","1","33","팜플렛명함요청","팜플렛명함","A","","","","네 명함 하나 주세요","","명함, 하나","","","",""
"고객","하남 태권도 맞죠?","C","학원","태권도","1","1","학원확인","","Q","","하남 태권도 맞죠?","","","","하남 태권도","","하남 태권도/상호","",""
"점원","네 맞습니다","C","학원","태권도","0","2","학원확인","","A","","","","","네 맞습니다","","","","",""
"고객","우리애 태권도 시키고 싶은데","C","학원","태권도","1","3","상담문의","","Q","","우리애 태권도 시키고 싶은데","","","","태권도","","태권도/도법","",""
"점원","몇 학년이에요?","C","학원","태권도","0","4","상담문의","학년","Q","","","몇 학년이에요?","","","몇 학년","","","",""
"고객","초등학교 사학년이고 여자애에요","C","학원","태권도","1","5","상담문의","학년","A","","","","초등학교 사학년이고 여자애에요","","초등학교 사학년, 여자","","초등학교 사학년/대상, 여자/샹별","",""
"고객","선생님이 코치님이 아니세요?","C","학원","태권도","1","6","수업선생님문의","","Q","","선생님이 코치님이 아니세요?","","","","선생님, 코치님","","","",""
"점원","제가 사범입니다","C","학원","태권도","0","7","수업선생님문의","","A","","","","","제가 사범입니다","사범","","","",""
"고객","코치님 별도로?","C","학원","태권도","1","8","수업선생님문의","","Q","","코치님 별도로?","","","","코치님, 별도","","","",""
"점원","총괄 관장님이 따로 계시고요","C","학원","태권도","0","9","수업선생님문의","","A","","","","","총괄 관장님이 따로 계시고요","총괄 관장님","","","",""
"고객","수강료는 얼마에요?","C","학원","태권도","1","10","교육비문의","","Q","","수강료는 얼마에요?","","","","수강료, 얼마","","","",""
"점원","수강료는 일주일에 다섯 번 오면 십이만 원이고요","C","학원","태권도","0","11","교육비문의","","A","","","","","수강료는 일주일에 다섯 번 오면 십이만 원이고요","수강료, 일주일, 다섯 번, 십이만 원","","일주일/기간, 다섯 번/횟수, 십이만 원/금액","",""
"고객","오학년 사학년 여자애들 많나요?","C","학원","태권도","1","12","수강생구성문의","","Q","","오학년 사학년 여자애들 많나요?","","","","오학년, 사학년, 여자","","오학년/대상, 사학년/대상, 여자/성별","",""
"점원","여자애들은 일곱시에 제일 많아요","C","학원","태권도","0","13","수강생구성문의","","A","","","","","여자애들은 일곱시에 제일 많아요","여자, 일곱시","","여자/성별, 일곱시/시간대","",""
"고객","씨씨티비 있어요?","C","학원","태권도","1","14","cctv설치유무문의","","Q","","씨씨티비 있어요?","","","","씨씨티비","","씨씨티비/시설","",""
"점원","씨씨티비 다 있고요","C","학원","태권도","0","15","cctv설치유무문의","","A","","","","","씨씨티비 다 있고요","씨씨티비","","씨씨티비/시설","",""
"점원","집은 어디세요?","C","학원","태권도","0","16","상담문의","학생위치","Q","","","집은 어디세요?","","","집, 어디","","","",""
"고객","화원에서 명곡으로 이사왔어요","C","학원","태권도","1","17","상담문의","학생위치","A","","","","화원에서 명곡으로 이사왔어요","","화원, 명곡, 이사","","","",""
"점원","태권도 해봤어요?","C","학원","태권도","0","18","상담문의","운동경험문의","Q","","","태권도 해봤어요?","","","태권도","","태권도/도법","",""
"고객","아뇨 가르쳐 보려고","C","학원","태권도","1","19","상담문의","운동경험문의","A","","","","아뇨 가르쳐 보려고","","","","","",""
"고객","애랑 몇 시쯤 오면 돼요?","C","학원","태권도","1","20","방문시간문의","","Q","","애랑 몇 시쯤 오면 돼요?","","","","몇 시","","","",""
"점원","상담받으시려면 편한 시간 때 오시면 되세요","C","학원","태권도","0","21","방문시간문의","","A","","","","","상담받으시려면 편한 시간 때 오시면 되세요","상담, 시간","","","",""
"고객","태권도 학원 맞죠?","C","학원","태권도","1","1","학원확인","","Q","","태권도 학원 맞죠?","","","","태권도 학원","","","",""
"점원","네 맞습니다","C","학원","태권도","0","2","학원확인","","A","","","","","네 맞습니다","","","","",""
"고객","상담 좀 하러 왔어요","C","학원","태권도","1","3","상담문의","","Q","","상담 좀 하러 왔어요","","","","상담","","","",""
"점원","네 앉으세요","C","학원","태권도","0","4","상담문의","","A","","","","","네 앉으세요","","","","",""
"점원","아이가 몇 살 이에요?","C","학원","태권도","0","5","상담문의","나이","Q","","","아이가 몇 살 이에요?","","","아이, 몇 살","","","",""
"고객","여섯살이요","C","학원","태권도","1","6","상담문의","나이","A","","","","여섯살이요","","여섯살","","여섯살/대상","",""
"고객","여섯살짜리 많아요?","C","학원","태권도","1","7","수강생구성문의","","Q","","여섯살짜리 많아요?","","","","여섯살","","여섯살/대상","",""
"점원","네 많아요","C","학원","태권도","0","8","수강생구성문의","","A","","","","","네 많아요","","","","",""
"점원","유치원은 어디 다녀요?","C","학원","태권도","0","9","상담문의","학생다니는학교","Q","","","유치원은 어디 다녀요?","","","유치원, 어디","","","",""
"고객","이 부근이에요","C","학원","태권도","1","10","상담문의","학생다니는학교","A","","","","이 부근이에요","","부근","","","",""
"고객","차 운행도 하세요?","C","학원","태권도","1","11","학원차량가능문의","","Q","","차 운행도 하세요?","","","","차, 운행","","","",""
"점원","네 픽업 다 돼요","C","학원","태권도","0","12","학원차량가능문의","","A","","","","","네 픽업 다 돼요","픽업","","","",""
"고객","애들 수강료는요?","C","학원","태권도","1","13","교육비문의","","Q","","애들 수강료는요?","","","","수강료","","","",""
"점원","주 오회 월요일부터 금요일까지 하면 십이만 원입니다","C","학원","태권도","0","14","교육비문의","","A","","","","","주 오회 월요일부터 금요일까지 하면 십이만 원입니다","주 오회, 월요일, 금요일, 십이만 원","","주 오회/횟수, 월요일/요일, 금요일/요일, 십이만 원/금액","",""
"고객","오래 되셨죠?","C","학원","태권도","1","15","선생님경력문의","","Q","","오래 되셨죠?","","","","","","","",""
"점원","네 저희 키즈관은 사 년 오 년 됐고요 본관은 십오년 정도 돼요","C","학원","태권도","0","16","선생님경력문의","","A","","","","","네 저희 키즈관은 사 년 오 년 됐고요 본관은 십오년 정도 돼요","키즈관, 사 년, 오 년, 본관, 십오년, 정도","","키즈관/장소, 사 년/기간, 오 년/기간, 본관/장소, 십오년/기간","",""
"고객","매일 몇 시쯤 데리고 오면 되나요?","C","학원","태권도","1","17","학년별시간표문의","","Q","","매일 몇 시쯤 데리고 오면 되나요?","","","","매일, 몇 시","","","",""
"점원","보통 유치원이 몇 시에 마쳐요?","C","학원","태권도","0","18","상담문의","학교끝나는시간","Q","","","보통 유치원이 몇 시에 마쳐요?","","","보통, 유치원, 몇 시","","","",""
"고객","두시","C","학원","태권도","1","19","상담문의","학교끝나는시간","A","","","","두시","","두시","","두시/시간","",""
"점원","보통 유치원 친구들이 네 시 아니면 다섯시 반부 두 타임으로 많이 오거든요 ","C","학원","태권도","0","20","학년별시간표문의","","A","17","","","","보통 유치원 친구들이 네 시 아니면 다섯시 반부 두 타임으로 많이 오거든요 ","보통, 유치원 친구, 네 시, 다섯시 반부, 두 타임","","유치원 친구/대상, 네 시/시간대, 다섯시 반부/시간대, 두 타임/횟수","",""
"고객","수업은 오십분이다 그죠?","C","학원","태권도","1","21","강의시간문의","","Q","","수업은 오십분이다 그죠?","","","","수업, 오십분","","오십분/시간","",""
"점원","네 맞습니다","C","학원","태권도","0","22","강의시간문의","","A","","","","","네 맞습니다","","","","",""
"점원","남자친구예요? 여자예요?","C","학원","태권도","0","23","학년별시간표문의","성별","Q","","","남자친구예요? 여자예요?","","","남자친구, 여자","","남자친구/성별, 여자/성별","",""
"고객","남자","C","학원","태권도","1","24","학년별시간표문의","성별","A","","","","남자","","남자","","남자/성별","",""
"고객","요새 여자아이들도 많이해요?","C","학원","태권도","1","25","수강생구성문의","","Q","","요새 여자아이들도 많이해요?","","","","여자아이","","여자아이/성별","",""
"점원","네 여자아이들도 많이해요","C","학원","태권도","0","26","수강생구성문의","","A","","","","","네 여자아이들도 많이해요","여자아이","","여자아이/성별","",""
"고객","여기 키즈는 수업이 월요일은 인성교육 성장 체조 어린이 헬스 이런 식으로 진행이 되는 거고요?","C","학원","태권도","1","27","프로그램문의","","Q","","여기 키즈는 수업이 월요일은 인성교육 성장 체조 어린이 헬스 이런 식으로 진행이 되는 거고요?","","","","여기, 키즈, 수업, 월요일, 인성교육, 성장 체조, 어린이 헬스, 진행","","키즈/대상, 월요일/요일, 인성교육/수업내용, 성장 체조/수업내용, 어린이 헬스/수업내용","",""
"점원","네 맞아요","C","학원","태권도","0","28","프로그램문의","","A","","","","","네 맞아요","","","","",""
"고객","명함 하나 주세요","C","학원","태권도","1","29","팜플렛명함요청","","Q","","명함 하나 주세요","","","","명함, 하나","","","",""
"점원","명함하고 프로그램 드릴게요","C","학원","태권도","0","30","팜플렛명함요청","","A","","","","","명함하고 프로그램 드릴게요","명함, 프로그램","","","",""
"고객","상담할 수 있어요?","C","학원","태권도","1","1","상담문의","","Q","","상담할 수 있어요?","","","","상담","","","",""
"점원","네 가능하세요","C","학원","태권도","0","2","상담문의","","A","","","","","네 가능하세요","가능","","","",""
"고객","ATA는 뭡니까?","C","학원","태권도","1","3","협회단체문의","","Q","","ATA는 뭡니까?","","","","ATA","","","",""
"점원","미국 태권도 협회 약자입니다","C","학원","태권도","0","4","협회단체문의","","A","","","","","미국 태권도 협회 약자입니다","미국 태권도 협회, 약자","","","",""
"고객","KTA도 있던데?","C","학원","태권도","1","5","협회단체문의","","Q","","KTA도 있던데?","","","","KTA","","","",""
"점원","네 KTA는 한국 태권도 협회입니다","C","학원","태권도","0","6","협회단체문의","","A","","","","","네 KTA는 한국 태권도 협회입니다","KTA, 한국 태권도 협회","","","",""
"고객","ATA, KTA에 소속이 돼있다?","C","학원","태권도","1","7","협회단체소속문의","","Q","","ATA, KTA에 소속이 돼있다?","","","","ATA, KTA, 소속","","","",""
"점원","네 맞아요","C","학원","태권도","0","8","협회단체소속문의","","A","","","","","네 맞아요","","","","",""
"고객","관장님은 몇 단이세요? 6단이신가","C","학원","태권도","1","9","선생님경력문의","","Q","","관장님은 몇 단이세요? 6단이신가","","","","관장님, 몇 단, 6단","","6단/단계","",""
"점원","6단이면 대단하시죠","C","학원","태권도","0","10","선생님경력문의","","A","","","","","6단이면 대단하시죠","6단","","6단/단계","",""
"고객","관장님 연세는 어떻게 되세요?","C","학원","태권도","1","11","선생님나이문의","","Q","","관장님 연세는 어떻게 되세요?","","","","관장님, 연세","","","",""
"점원","나이는 40대 입니다","C","학원","태권도","0","12","선생님나이문의","","A","","","","","나이는 40대 입니다","나이, 40대","","40대/나이","",""
"점원","자녀가 중3 올라가요?","C","학원","태권도","0","13","상담문의","학년","Q","","","자녀가 중3 올라가요?","","","자녀, 중3","","자녀/대상, 중3/대상","",""
"고객","네","C","학원","태권도","1","14","상담문의","학년","A","","","","네","","","","","",""
"점원","자녀분은 태권도 했었어요?","C","학원","태권도","0","15","상담문의","운동경험문의","Q","","","자녀분은 태권도 했었어요?","","","자녀분, 태권도","","자녀분/대상, 태권도/도법","",""
"고객","네 2품 하다가 중간에서","C","학원","태권도","1","16","상담문의","운동경험문의","A","","","","네 2품 하다가 중간에서","","2품, 중간","","2품/단계","",""
"점원","어디로 다니고 있었습니까?","C","학원","태권도","0","17","상담문의","타학원수강경험","Q","","","어디로 다니고 있었습니까?","","","어디","","","",""
"고객","동네에서","C","학원","태권도","1","18","상담문의","타학원수강경험","A","","","","동네에서","","동네","","","",""
"고객","하루 이틀 체험 해볼 수 있어요?","C","학원","태권도","1","19","테스트프로그램가능여부문의","","Q","","하루 이틀 체험 해볼 수 있어요?","","","","하루, 이틀, 체험","","하루/기간, 이틀/기간","",""
"점원","체험 수업 3일 정도 가능합니다","C","학원","태권도","0","20","테스트프로그램가능여부문의","","A","","","","","체험 수업 3일 정도 가능합니다","체험, 수업, 3일, 정도, 가능","","체험 수업/수업내용, 3일/기간","",""
"고객","차량 운행도?","C","학원","태권도","1","21","학원차량가능문의","","Q","","차량 운행도?","","","","차량, 운행","","","",""
"점원","되죠","C","학원","태권도","0","22","학원차량가능문의","","A","","","","","되죠","","","","",""
"고객","수강료는?","C","학원","태권도","1","23","교육비문의","","Q","","수강료는?","","","","수강료","","","",""
"점원","월 13만 원 받고 있어요","C","학원","태권도","0","24","교육비문의","","A","","","","","월 13만 원 받고 있어요","13만 원","","13만 원/금액","",""
"고객","중학생 반은 몇 시에 있어요?","C","학원","태권도","1","25","학년별시간표문의","","Q","","중학생 반은 몇 시에 있어요?","","","","중학생, 반, 몇 시","","중학생 반/반","",""
"점원","마지막 반은 8시부터 9시 반이고 아이들 개학하면 9시 반부터 10시 반까지 이렇게 있습니다","C","학원","태권도","0","26","학년별시간표문의","","A","","","","","마지막 반은 8시부터 9시 반이고 아이들 개학하면 9시 반부터 10시 반까지 이렇게 있습니다","마지막, 반, 8시, 9시 반, 아이들, 개학, 9시 반, 10시 반","","8시/시작시간, 9시 반/마감시간, 9시 반/시작시간, 10시 반/마감시간","",""
"고객","한 시간인 거에요?","C","학원","태권도","1","27","강의시간문의","","Q","","한 시간인 거에요?","","","","한 시간","","한 시간/시간","",""
"점원","네 한 시간이에요","C","학원","태권도","0","28","강의시간문의","","A","","","","","네 한 시간이에요","한 시간","","한 시간/시간","",""
"고객","교실이 두 개네요?","C","학원","태권도","1","29","도장크기.컨디션문의","","Q","","교실이 두 개네요?","","","","교실, 두 개","","두 개/교실수","",""
"점원","네 여기서 태권도 수업이 진행되고 한 쪽에서는 유급자 친구들 수업을 하거나 성인부 운동 이렇게 진행하고 있습니다","C","학원","태권도","0","30","도장크기.컨디션문의","","A","","","","","네 여기서 태권도 수업이 진행되고 한 쪽에서는 유급자 친구들 수업을 하거나 성인부 운동 이렇게 진행하고 있습니다","여기, 태권도, 수업, 진행, 한 쪽, 유급자, 친구, 성인부, 운동","","태권도 수업/수업, 한 쪽/위치, 유급자 친구/대상, 성인부/대상, 운동/수업","",""
"점원","시간 되실 때 자녀분하고 한 번 와보시겠습니까?","C","학원","태권도","0","31","방문시간문의","방문요청","Q","","","시간 되실 때 자녀분하고 한 번 와보시겠습니까?","","","시간, 자녀, 한 번","","","",""
"고객","명함 주시겠어요?","C","학원","태권도","1","32","팜플렛명함요청","","Q","","명함 주시겠어요?","","","","명함","","","",""
"점원","전화번호 남겨주시면 관장님께 말씀드려서 바로 전화드리라고 하겠습니다","C","학원","태권도","0","33","팜플렛명함요청","전화번호요청","Q","","","전화번호 남겨주시면 관장님께 말씀드려서 바로 전화드리라고 하겠습니다","","","전화번호, 관장님, 전화","","","",""
"고객","제가 전화드릴게요","C","학원","태권도","1","34","팜플렛명함요청","전화번호요청","A","","","","제가 전화드릴게요","","전화","","","",""
"점원","저희 전화번호를 하나 알려드리겠습니다","C","학원","태권도","0","35","팜플렛명함요청","","A","32","","","","저희 전화번호를 하나 알려드리겠습니다","전화번호, 하나","","","",""
"고객","상담 좀 가능합니까?","C","학원","태권도","1","1","상담문의","","Q","","상담 좀 가능합니까?","","","","상담, 가능","","","",""
"점원","네 앉으세요","C","학원","태권도","0","2","상담문의","","A","","","","","네 앉으세요","","","","",""
"고객","사범님이세요?","C","학원","태권도","1","3","상담선생님확인","","Q","","사범님이세요?","","","","사범님","","","",""
"점원","저는 상담 선생님이에요","C","학원","태권도","0","4","상담선생님확인","","A","","","","","저는 상담 선생님이에요","상담 선생님","","","",""
"점원","자녀분은 몇 학년이에요?","C","학원","태권도","0","5","상담문의","학년","Q","","","자녀분은 몇 학년이에요?","","","자녀, 몇 학년","","","",""
"고객","중학생이에요","C","학원","태권도","1","6","상담문의","학년","A","","","","중학생이에요","","중학생","","중학생/대상","",""
"고객","수업 시간은 언제에요?","C","학원","태권도","1","7","학년별시간표문의","","Q","","수업 시간은 언제에요?","","","","수업, 시간, 언제","","","",""
"점원","저희 중 고등부도 운영하고 있어서 지금 이 시간이 중 고등부 시간이에요","C","학원","태권도","0","8","학년별시간표문의","","A","","","","","저희 중 고등부도 운영하고 있어서 지금 이 시간이 중 고등부 시간이에요","중 고등부, 운영, 지금, 시간","","중 고등부/반","",""
"점원","자녀분이 전에 운동했었어요?","C","학원","태권도","0","9","상담문의","운동경험문의","Q","","","자녀분이 전에 운동했었어요?","","","자녀, 전, 운동","","","",""
"고객","네 한 3년 배우다 말았어요","C","학원","태권도","1","10","상담문의","운동경험문의","A","","","","네 한 3년 배우다 말았어요","","3년","","3년/기간","",""
"점원","품 딴지가 오래됐나요?","C","학원","태권도","0","11","상담문의","운동그만둔기간","Q","","","품 딴지가 오래됐나요?","","","품","","","",""
"고객","한 2년 됐어요 ","C","학원","태권도","1","12","상담문의","운동그만둔기간","A","","","","한 2년 됐어요 ","","2년","","2년/기간","",""
"고객","되게 넓네요?","C","학원","태권도","1","13","도장크기.컨디션문의","","Q","","되게 넓네요?","","","","","","","",""
"점원","저희가 여기 김해에서 제일 커요","C","학원","태권도","0","14","도장크기.컨디션문의","","A","","","","","저희가 여기 김해에서 제일 커요","저희, 여기, 김해","","","",""
"고객","몇 평이에요?","C","학원","태권도","1","15","도장크기.컨디션문의","","Q","","몇 평이에요?","","","","몇 평","","","",""
"점원","180평 지금 실 사용 면적이요","C","학원","태권도","0","16","도장크기.컨디션문의","","A","","","","","180평 지금 실 사용 면적이요","180평, 지금, 사용, 면적","","180평/면적","",""
"고객","수강료는 얼마에요?","C","학원","태권도","1","17","교육비문의","","Q","","수강료는 얼마에요?","","","","수강료, 얼마","","","",""
"점원","주 5회 기준으로 13만원이에요","C","학원","태권도","0","18","교육비문의","","A","","","","","주 5회 기준으로 13만원이에요","주 5회, 기준, 13만원","","주 5회/횟수, 13만원/금액","",""
"점원","운동 쪽으로 진로 생각하고 계신 거예요?","C","학원","태권도","0","19","상담문의","진로","Q","","","운동 쪽으로 진로 생각하고 계신 거예요?","","","운동, 진로, 생각","","","",""
"고객","아니요 그건 아니고","C","학원","태권도","1","20","상담문의","진로","A","","","","아니요 그건 아니고","","","","","",""
"고객","차량도 있나요?","C","학원","태권도","1","21","보유한학원차량숫자문의","","Q","","차량도 있나요?","","","","차량","","","",""
"점원","네 차량 두 대 운영 중입니다","C","학원","태권도","0","22","보유한학원차량숫자문의","","A","","","","","네 차량 두 대 운영 중입니다","차량, 두 대, 운영","","두 대/차량수","",""
"고객","프로그램은 어떤가요?","C","학원","태권도","1","23","프로그램문의","","Q","","프로그램은 어떤가요?","","","","프로그램","","","",""
"점원","프로그램을 보시면 전체적인 틀은 이런 쪽으로 체형교정 프로그램도 진행하고 있고 중고등부는 아령이랑 매달리기 이런 기구도 일주일에 한 두 번 근력운동 헬스가 들어가요","C","학원","태권도","0","24","프로그램문의","","A","","","","","프로그램을 보시면 전체적인 틀은 이런 쪽으로 체형교정 프로그램도 진행하고 있고 중고등부는 아령이랑 매달리기 이런 기구도 일주일에 한 두 번 근력운동 헬스가 들어가요","프로그램, 틀, 체형교정 프로그램, 진행, 중고등부, 아령, 매달리기, 기구, 일주일, 한 두 번, 근력운동, 헬스","","체형교정 프로그램/수업내용, 중고등부/대상, 아령/수업, 매달리기/수업, 일주일/시간, 한 두 번/횟수, 근력운동/수업, 헬스/수업","",""
"고객","아이가 결석하면 따로 연락 주시나요?","C","학원","태권도","1","25","결석시부모님연락서비스유무문의","","Q","","아이가 결석하면 따로 연락 주시나요?","","","","아이, 결석, 연락","","","",""
"점원","저게 출결 알림이거든요 어머님들께서 어플 하나 설치하시면 바로바로 출결 사항 알 수 있어요","C","학원","태권도","0","26","결석시부모님연락서비스유무문의","","A","","","","","저게 출결 알림이거든요 어머님들께서 어플 하나 설치하시면 바로바로 출결 사항 알 수 있어요","출결 알림, 어머님, 어플, 하나, 설치, 출결 사항","","","",""
"고객","일주일 체험도 가능한가요?","C","학원","태권도","1","27","테스트프로그램가능여부문의","","Q","","일주일 체험도 가능한가요?","","","","일주일, 체험, 가능","","일주일/기간","",""
"점원","체험은 하루 정도 돼요","C","학원","태권도","0","28","테스트프로그램가능여부문의","","A","","","","","체험은 하루 정도 돼요","체험, 하루, 정도","","","",""
"고객","현금영수증도 발행해주시나요?","C","학원","태권도","1","29","현금영수증발급가능문의","","Q","","현금영수증도 발행해주시나요?","","","","현금영수증, 발행","","","",""
"점원","네 카드도 되고요","C","학원","태권도","0","30","현금영수증발급가능문의","","A","","","","","네 카드도 되고요","카드","","카드/결제방식","",""
"점원","여기 보시면 전화번호 있거든요?","C","학원","태권도","0","31","팜플렛명함요청","연락처안내","Q","","","여기 보시면 전화번호 있거든요?","","","여기, 전화번호","","","",""
"고객","네 알겠습니다","C","학원","태권도","1","32","팜플렛명함요청","연락처안내","A","","","","네 알겠습니다","","","","","",""
"고객","초등학생인데 한 번 가르칠까 싶어갖고요","C","학원","태권도","1","1","상담문의","","Q","","초등학생인데 한 번 가르칠까 싶어갖고요","","","","초등학생, 한 번","","초등학생/대상, 한 번/횟수","",""
"점원","몇 학년이죠?","C","학원","태권도","0","2","상담문의","학년","Q","","","몇 학년이죠?","","","몇 학년","","","",""
"고객","3학년이에요","C","학원","태권도","1","3","상담문의","학년","A","","","","3학년이에요","","3학년","","3학년/대상","",""
"고객","수강료는 얼마쯤 해요?","C","학원","태권도","1","4","교육비문의","","Q","","수강료는 얼마쯤 해요?","","","","수강료, 얼마","","","",""
"점원","주 3회 10만 원이고요 다섯 번 12만 원이요","C","학원","태권도","0","5","교육비문의","","A","","","","","주 3회 10만 원이고요 다섯 번 12만 원이요","주 3회, 10만 원, 다섯 번, 12만 원","","주 3회/횟수, 10만 원/금액, 다섯 번/횟수, 12만 원/금액","",""
"고객","선생님은 오래되셨어요?","C","학원","태권도","1","6","선생님경력문의","","Q","","선생님은 오래되셨어요?","","","","선생님","","","",""
"점원","저는 20년 가까이했죠","C","학원","태권도","0","7","선생님경력문의","","A","","","","","저는 20년 가까이했죠","20년","","20년/기간","",""
"고객","수업은 몇 시간쯤?","C","학원","태권도","1","8","강의시간문의","","Q","","수업은 몇 시간쯤?","","","","수업, 몇 시간","","","",""
"점원","수업 진행은 50분 합니다 10분 정도는 인성교육 위주로 진행한다 생각하시면 될 것 같아요","C","학원","태권도","0","9","강의시간문의","","A","","","","","수업 진행은 50분 합니다 10분 정도는 인성교육 위주로 진행한다 생각하시면 될 것 같아요","수업, 진행, 50분, 10분, 정도, 인성교육, 위주, 생각","","50분/시간, 10분/시간, 인성교육/수업내용","",""
"고객","여자애인데 혹시 CCTV는 있을까요?","C","학원","태권도","1","10","cctv설치유무문의","","Q","","여자애인데 혹시 CCTV는 있을까요?","","","","여자, CCTV","","여자/성별, CCTV/시설","",""
"점원","다 있죠","C","학원","태권도","0","11","cctv설치유무문의","","A","","","","","다 있죠","","","","",""
"고객","차량운행은 하나요?","C","학원","태권도","1","12","학원차량가능문의","","Q","","차량운행은 하나요?","","","","차량, 운행","","","",""
